,Date,Open,High,Low,Close,Volume,DayVolitility,DayPriceChange,WkPriceChange,MthPriceChange,SixMthPriceChange,YrPriceChange,TwoYrPriceChange,FutWkPriceChange,FutMthPriceChange,FutSixMthPriceChange,FutYrPriceChange,FutTwoYrPriceChange
110,1972-09-21,0.04251,0.04251,0.04251,0.04251,1686526,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.0,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
111,1972-09-22,0.04251,0.04251,0.04251,0.04251,1023963,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.0,,,-0.5968007527640555
112,1972-09-25,0.04251,0.04251,0.04251,0.04251,1144431,-0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.19948247471183256,-0.19948247471183256,
113,1972-09-26,0.04251,0.04251,0.04251,0.04251,843262,-0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
114,1972-09-27,0.04251,0.04251,0.04251,0.04251,783030,-0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.19948247471183256,-0.19948247471183256,
115,1972-09-28,0.04251,0.04251,0.04251,0.04251,1686526,-0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.19948247471183256,-0.19948247471183256,
116,1972-09-29,0.04251,0.04251,0.04251,0.04251,301162,-0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-0.5968007527640555
117,1972-10-02,0.04251,0.04251,0.04251,0.04251,1927453,-0.0,0.0,0.0,,0.24919188950925664,,,0.0,0.0,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
118,1972-10-03,0.04251,0.04251,0.04251,0.04251,602329,-0.0,0.0,0.0,0.0,0.24919188950925664,,,,0.0,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
119,1972-10-04,0.04251,0.04251,0.04251,0.04251,1806990,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.1999529522465302,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
120,1972-10-05,0.04251,0.04251,0.04251,0.04251,1626290,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.1999529522465302,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
121,1972-10-06,0.04251,0.04251,0.04251,0.04251,11504502,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.1999529522465302,,-0.19948247471183256,-0.5968007527640555
122,1972-10-09,0.04251,0.04251,0.04251,0.04251,1505825,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.1999529522465302,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
123,1972-10-11,0.04251,0.04251,0.04251,0.04251,542096,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.1999529522465302,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
124,1972-10-12,0.04251,0.04251,0.04251,0.04251,421630,-0.0,0.0,0.0,0.0,0.24919188950925664,,,0.0,0.1999529522465302,-0.19948247471183256,-0.19948247471183256,-0.5968007527640555
125,1972-10-13,0.04251,0.04251,0.04251,0.04251,60232,-0.0,0.0,0.0,0.0,,,,0.0,,,-0.19948247471183256,-0.5968007527640555
126,1972-10-16,0.04251,0.04251,0.04251,0.04251,783030,-0.0,0.0,0.0,0.0,,,,0.0,0.1999529522465302,,-0.19948247471183256,-0.5968007527640555
127,1972-10-17,0.04251,0.04251,0.04251,0.04251,2891185,-0.0,0.0,,0.0,,,,0.0,0.1999529522465302,-0.4029640084685956,-0.19948247471183256,-0.5968007527640555
128,1972-10-18,0.04251,0.04251,0.04251,0.04251,9155418,-0.0,0.0,0.0,0.0,,,,0.0,0.0,-0.19948247471183256,,-0.5968007527640555
129,1972-10-19,0.04251,0.04251,0.04251,0.04251,12468231,-0.0,0.0,0.0,0.0,,,,0.0,0.1999529522465302,,-0.19948247471183256,
